ID,Church,Enough/Satisfied,Friend,Love,Me,Mosque,Seat,Temple,You
ImageID_USRB8QNG,0.028378153,0.056987546,0.031724907,0.018164221,0.12171316,0.053303458,0.3264701,0.0947632,0.26849532
ImageID_SZ8D1ZJI,0.05365617,0.79816544,0.010558269,0.0016781181,0.0053397743,0.09130824,0.0005424365,0.028015703,0.01073582
ImageID_4OJO2F8J,0.22955362,0.2670895,0.014750844,0.012230407,0.04169801,0.380654,0.022074534,0.026446018,0.005503041
ImageID_IEE4XV0B,0.08003839,0.017762505,0.0025328724,0.0407227,0.17053539,0.069551796,0.40722343,0.019220863,0.1924121
ImageID_BP0O0WZ9,0.037722245,0.014849612,0.007671607,0.042283803,0.006421813,0.03719518,0.1045178,0.38587674,0.3634612
ImageID_M0V58H3K,0.10191428,0.5257036,0.109745435,0.028813213,0.12193862,0.038271483,0.0027057754,0.06705136,0.0038561744
ImageID_R87BQKKT,0.021248586,0.0044494374,0.15750626,0.49194875,0.055342253,0.0030588147,0.17637098,0.012028903,0.07804605
ImageID_MX5UE68W,0.020391677,0.061078493,0.5759339,0.14132689,0.011916769,0.033972297,0.021793237,0.10310526,0.030481502
ImageID_3AAK0323,0.017325014,0.008737378,0.35496417,0.3767302,0.17597614,0.036275055,0.00031473365,0.013128569,0.01654869
ImageID_F3G4F52P,0.007538868,0.003340298,0.0033230088,0.011443588,0.01315542,0.017567512,0.06030531,0.019593589,0.8637324
ImageID_XXZLLP4N,0.025686141,0.17747441,0.0056599253,0.0046856743,0.032650035,0.08547769,0.54513574,0.07749115,0.045739267
ImageID_IWZC16XT,0.007842463,0.090710886,0.0046614967,0.004405082,0.54562956,0.02140877,0.0028134508,0.29760227,0.02492606
ImageID_DQFGPGYH,0.17888139,0.06389968,0.0011930411,0.00010390831,0.0011866514,0.5798158,0.13695145,0.008130268,0.02983782
ImageID_5ORAP8JG,0.29537374,0.013823232,0.010900718,0.00027607358,0.013388647,0.056523867,0.03614928,0.5426603,0.030904137
ImageID_EQ4QAXOW,0.019548342,0.022548368,0.00844833,0.005189767,0.26513654,0.057948943,0.058477134,0.08972339,0.47297916
ImageID_TJJTFZDU,0.010688553,0.0019601153,0.017123168,0.053368114,0.2584887,0.0046384684,0.1078312,0.12672137,0.41918024
ImageID_LVVG177H,0.013505164,0.13895239,0.065236755,0.05916216,0.0304837,0.51916003,0.053187706,0.079382725,0.04092934
ImageID_QT6JF0F1,0.13734263,0.04511902,0.22781207,0.39543486,0.049536552,0.03327927,0.0025993194,0.08572169,0.023154628
ImageID_0M1X3G6S,0.01577079,0.18893845,0.032803044,0.02706701,0.041358706,0.094507724,0.41922325,0.019881781,0.16044919
ImageID_4JE0IKOA,0.014603986,0.008509751,0.16537793,0.5511869,0.11774771,0.06474739,0.0063811727,0.009030903,0.06241425
ImageID_5WLWGM18,0.11182439,0.40526062,0.01139175,0.007790641,0.030924156,0.114823066,0.0024411804,0.29946557,0.016078694
ImageID_CJD01CLT,0.20149095,0.02041968,0.003159107,0.0010388213,0.41000268,0.04068632,0.14448266,0.03761301,0.14110683
ImageID_TYP5XWMT,0.024508275,0.21710546,0.08667448,0.1081691,0.19892985,0.3412936,0.0025414454,0.012823629,0.007954157
ImageID_HC2SZBDP,0.06399821,0.58060384,0.0065092756,0.03446485,0.1835117,0.006475658,0.011429284,0.09875473,0.014252373
ImageID_K8SA0PXL,0.029898241,0.010851499,0.012746984,0.016130676,0.01942955,0.066943735,0.41083062,0.07232967,0.36083913
ImageID_7USAL6E3,0.044623386,0.014627748,0.013237982,0.0062789535,0.8065051,0.024602603,0.0046269847,0.01660158,0.0688957
ImageID_5YU2IL1M,0.07939407,0.0103983525,0.029247252,0.10492912,0.28117448,0.05742102,0.087212585,0.24111451,0.10910864
ImageID_NCPXW4BJ,0.0033990815,0.026470661,0.01844046,0.010131123,0.04085166,0.012898304,0.20284371,0.01325857,0.6717063
